,video_name,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
44,trial_lie_045,54,4,88,281,4,63,75,1
45,trial_lie_046,61,28,154,68,9,440,223,7
46,trial_lie_047,124,52,104,28,8,97,34,33
47,trial_lie_048,267,84,92,9,73,194,463,257
48,trial_lie_049,136,130,239,19,0,61,93,12
49,trial_lie_050,7,4,24,73,23,113,11,39
50,trial_lie_051,13,28,41,33,5,17,22,7
51,trial_lie_052,39,9,28,479,48,661,71,36
52,trial_lie_053,9,101,1,34,1,20,12,3
53,trial_lie_054,82,263,36,96,2,78,24,9
54,trial_lie_055,16,257,12,213,9,87,27,339
55,trial_lie_056,56,6,153,72,2,414,4,81
56,trial_lie_057,15,359,17,54,2,6,16,29
57,trial_lie_058,87,10,340,19,1,185,17,1
58,trial_lie_059,35,456,17,420,13,242,9,7
59,trial_lie_060,62,46,31,361,43,109,7,54
60,trial_lie_061,23,21,119,328,26,214,71,35
61,trial_truth_001,97,37,149,13,4,64,4,44
62,trial_truth_002,84,14,289,54,7,106,11,29
63,trial_truth_003,50,126,104,3,1,2,58,39
64,trial_truth_004,92,217,1584,96,3,275,62,114
65,trial_truth_005,8,2,699,18,5,142,134,35
66,trial_truth_006,16,101,427,31,11,111,137,84
67,trial_truth_007,3,182,725,67,10,201,359,600
68,trial_truth_008,14,4,720,46,13,429,62,39
69,trial_truth_009,4,12,264,40,12,145,67,119
70,trial_truth_010,16,61,306,289,58,1132,106,194
71,trial_truth_011,23,44,783,18,5,267,29,56
72,trial_truth_012,60,18,320,43,21,253,119,17
73,trial_truth_013,17,6,422,10,9,350,10,10
74,trial_truth_014,120,6,121,6,8,79,11,29
75,trial_truth_015,135,66,679,22,11,97,8,49
76,trial_truth_016,6,9,20,8,9,52,26,12
77,trial_truth_017,9,34,4,8,4,5,4,2
78,trial_truth_018,15,12,34,74,0,4,27,8
79,trial_truth_019,18,141,24,50,41,20,19,12
80,trial_truth_020,15,4,25,20,4,65,2,38
81,trial_truth_021,11,18,73,60,41,24,24,11
82,trial_truth_022,43,147,222,123,3,5,23,13
83,trial_truth_023,54,43,398,26,2,96,14,19
84,trial_truth_024,14,120,174,44,8,192,26,92
85,trial_truth_025,171,382,16,48,5,3,24,134
86,trial_truth_026,60,290,21,61,10,475,18,25
87,trial_truth_027,24,34,191,31,17,101,18,9
88,trial_truth_028,34,96,206,6,1,55,27,25
89,trial_truth_029,2,44,468,5,3,25,11,17
90,trial_truth_030,39,160,328,135,3,415,250,45
91,trial_truth_031,5,8,312,48,2,35,3,37
92,trial_truth_032,3,21,487,14,10,357,5,28
93,trial_truth_033,31,5,310,11,2,53,1,12
94,trial_truth_034,75,1,501,30,0,144,2,22
95,trial_truth_035,80,212,2,102,105,187,29,33
96,trial_truth_036,5,127,49,655,12,58,8,11
97,trial_truth_037,59,119,23,55,17,225,40,11
98,trial_truth_038,87,20,232,6,3,115,3,8
99,trial_truth_039,18,153,164,71,11,271,83,29
100,trial_truth_040,13,34,356,120,2,237,11,1
101,trial_truth_041,15,145,75,1,15,35,43,11
102,trial_truth_042,13,7,89,32,4,128,7,13
103,trial_truth_043,6,3,158,10,0,36,4,3
104,trial_truth_044,28,24,106,5,2,21,1,23
105,trial_truth_045,14,33,64,53,15,113,9,29
106,trial_truth_046,4,4,228,5,0,105,11,13
107,trial_truth_047,11,18,110,32,0,67,11,11
108,trial_truth_048,46,11,45,26,3,77,24,28
109,trial_truth_049,3,10,172,16,0,90,6,3
110,trial_truth_050,3,70,91,20,2,25,18,1
111,trial_truth_051,12,251,270,72,10,101,75,56
112,trial_truth_052,10,8,176,8,2,79,5,1
113,trial_truth_053,1,19,23,379,33,243,66,46
114,trial_truth_054,406,10,109,71,13,36,19,56
115,trial_truth_055,22,18,3,6,0,36,4,3
116,trial_truth_056,87,66,55,39,3,10,72,14
117,trial_truth_057,17,20,1029,2,5,55,1,10
118,trial_truth_058,70,71,390,12,11,23,7,46
119,trial_truth_059,140,5,526,5,1,100,3,30
120,trial_truth_060,70,89,93,190,0,59,24,15
