,video_name,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
61,trial_lie_031_1,4,44,202,12,10,78,2,37
62,trial_lie_032_0,0,234,7,11,42,6,0,49
63,trial_lie_032_1,35,122,51,52,46,29,15,0
64,trial_lie_033_0,2,423,8,14,26,21,23,45
65,trial_lie_033_1,32,433,2,4,29,14,24,25
66,trial_lie_034_0,4,0,185,15,2,144,20,5
67,trial_lie_034_1,11,41,90,51,24,99,16,43
68,trial_lie_035_0,21,61,12,25,0,1,1,1
69,trial_lie_035_1,39,27,8,24,0,9,12,4
70,trial_lie_036_0,21,275,97,8,4,12,121,46
71,trial_lie_036_1,40,147,59,13,0,1,228,97
72,trial_lie_037_0,125,15,50,58,0,8,70,15
73,trial_lie_037_1,95,54,55,61,1,5,54,16
74,trial_lie_038_0,6,130,29,118,16,3,6,2
75,trial_lie_038_1,33,103,59,8,0,17,90,1
76,trial_lie_039_0,36,208,96,0,4,9,31,21
77,trial_lie_039_1,17,178,135,6,9,21,30,9
78,trial_lie_040_0,86,43,141,12,7,14,10,11
79,trial_lie_040_1,57,68,41,59,0,6,70,23
80,trial_lie_041_0,88,109,4,112,0,3,42,0
81,trial_lie_041_1,10,88,63,189,0,0,8,0
82,trial_lie_042_0,43,106,79,34,0,17,18,40
83,trial_lie_042_1,65,84,155,23,3,0,5,3
84,trial_lie_043_0,56,67,0,16,0,6,29,0
85,trial_lie_043_1,14,56,9,17,3,18,39,19
86,trial_lie_044_0,0,2,2,0,1,13,1,4
87,trial_lie_044_1,3,5,0,8,0,1,1,6
88,trial_lie_045_0,47,4,4,149,4,38,39,0
89,trial_lie_045_1,7,0,84,132,0,25,36,1
90,trial_lie_046_0,32,21,54,40,9,221,111,7
91,trial_lie_046_1,29,7,100,28,0,219,112,0
92,trial_lie_047_0,117,24,8,10,0,48,33,0
93,trial_lie_047_1,7,28,96,18,8,49,1,33
94,trial_lie_048_0,151,12,91,0,0,111,285,69
95,trial_lie_048_1,116,72,1,9,73,83,178,188
96,trial_lie_049_0,32,57,177,18,0,32,17,12
97,trial_lie_049_1,104,73,62,1,0,29,76,0
98,trial_lie_050_0,6,4,0,38,0,78,5,16
99,trial_lie_050_1,1,0,24,35,23,35,6,23
100,trial_lie_051_0,4,14,28,12,1,9,15,0
101,trial_lie_051_1,9,14,13,21,4,8,7,7
102,trial_lie_052_0,22,9,28,397,48,129,24,28
103,trial_lie_052_1,17,0,0,82,0,532,47,8
104,trial_lie_053_0,9,54,1,7,0,8,9,2
105,trial_lie_053_1,0,47,0,27,1,12,3,1
106,trial_lie_054_0,45,146,17,80,0,0,3,4
107,trial_lie_054_1,37,117,19,16,2,78,21,5
108,trial_lie_055_0,2,43,12,158,5,25,7,228
109,trial_lie_055_1,14,214,0,55,4,62,20,111
110,trial_lie_056_0,49,0,58,0,0,253,2,32
111,trial_lie_056_1,7,6,95,72,2,161,2,49
112,trial_lie_057_0,10,204,0,7,2,6,4,16
113,trial_lie_057_1,5,155,17,47,0,0,12,13
114,trial_lie_058_0,56,0,228,11,0,33,2,0
115,trial_lie_058_1,31,10,112,8,1,152,15,1
116,trial_lie_059_0,20,181,12,265,0,107,9,5
117,trial_lie_059_1,15,275,5,155,13,135,0,2
118,trial_lie_060_0,60,22,0,177,32,58,0,7
119,trial_lie_060_1,2,24,31,184,11,51,7,47
120,trial_lie_061_0,0,21,81,197,26,48,17,28
121,trial_lie_061_1,23,0,38,131,0,166,54,7
122,trial_truth_001_0,26,35,82,5,4,37,1,16
123,trial_truth_001_1,71,2,67,8,0,27,3,28
124,trial_truth_002_0,30,10,153,10,5,77,9,3
125,trial_truth_002_1,54,4,136,44,2,29,2,26
126,trial_truth_003_0,7,107,26,0,1,1,26,23
127,trial_truth_003_1,43,19,78,3,0,1,32,16
128,trial_truth_004_0,91,79,809,4,3,169,28,38
129,trial_truth_004_1,1,138,775,92,0,106,34,76
130,trial_truth_005_0,7,2,310,10,5,127,46,14
131,trial_truth_005_1,1,0,389,8,0,15,88,21
132,trial_truth_006_0,16,34,193,23,4,85,62,42
133,trial_truth_006_1,0,67,234,8,7,26,75,42
134,trial_truth_007_0,0,82,354,28,10,114,217,268
135,trial_truth_007_1,3,100,371,39,0,87,142,332
136,trial_truth_008_0,1,2,346,28,11,232,35,8
137,trial_truth_008_1,13,2,374,18,2,197,27,31
138,trial_truth_009_0,4,4,102,11,0,86,58,66
139,trial_truth_009_1,0,8,162,29,12,59,9,53
140,trial_truth_010_0,15,15,133,155,3,618,37,105
141,trial_truth_010_1,1,46,173,134,55,514,69,89
142,trial_truth_011_0,21,15,321,13,0,197,29,16
143,trial_truth_011_1,2,29,462,5,5,70,0,40
144,trial_truth_012_0,60,14,107,7,8,169,56,4
145,trial_truth_012_1,0,4,213,36,13,84,63,13
146,trial_truth_013_0,17,6,102,1,1,280,0,10
147,trial_truth_013_1,0,0,320,9,8,70,10,0
148,trial_truth_014_0,36,6,89,5,7,30,9,8
149,trial_truth_014_1,84,0,32,1,1,49,2,21
150,trial_truth_015_0,84,44,280,8,0,82,8,27
151,trial_truth_015_1,51,22,399,14,11,15,0,22
152,trial_truth_016_0,6,8,20,0,9,22,0,6
153,trial_truth_016_1,0,1,0,8,0,30,26,6
154,trial_truth_017_0,0,22,2,7,4,0,0,0
155,trial_truth_017_1,9,12,2,1,0,5,4,2
156,trial_truth_018_0,0,0,12,48,0,0,27,0
157,trial_truth_018_1,15,12,22,26,0,4,0,8
158,trial_truth_019_0,12,71,7,36,21,7,0,8
159,trial_truth_019_1,6,70,17,14,20,13,19,4
160,trial_truth_020_0,3,4,21,0,4,50,2,2
161,trial_truth_020_1,12,0,4,20,0,15,0,36
162,trial_truth_021_0,11,0,73,13,7,9,18,0
163,trial_truth_021_1,0,18,0,47,34,15,6,11
164,trial_truth_022_0,11,80,63,112,3,0,7,13
165,trial_truth_022_1,32,67,159,11,0,5,16,0
166,trial_truth_023_0,38,20,209,10,1,33,3,12
167,trial_truth_023_1,16,23,189,16,1,63,11,7
168,trial_truth_024_0,12,53,118,40,3,67,15,27
169,trial_truth_024_1,2,67,56,4,5,125,11,65
170,trial_truth_025_0,89,176,16,42,5,1,24,38
171,trial_truth_025_1,82,206,0,6,0,2,0,96
172,trial_truth_026_0,7,136,9,28,5,277,6,12
173,trial_truth_026_1,53,154,12,33,5,198,12,13
174,trial_truth_027_0,12,12,77,22,6,74,3,6
175,trial_truth_027_1,12,22,114,9,11,27,15,3
176,trial_truth_028_0,3,67,72,6,1,34,17,25
177,trial_truth_028_1,31,29,134,0,0,21,10,0
178,trial_truth_029_0,0,42,215,0,3,17,10,0
179,trial_truth_029_1,2,2,253,5,0,8,1,17
180,trial_truth_030_0,36,62,217,50,0,172,145,5
181,trial_truth_030_1,3,98,111,85,3,243,105,40
182,trial_truth_031_0,0,0,161,30,0,4,0,30
183,trial_truth_031_1,5,8,151,18,2,31,3,7
184,trial_truth_032_0,0,4,250,9,6,176,5,12
185,trial_truth_032_1,3,17,237,5,4,181,0,16
186,trial_truth_033_0,27,3,144,3,2,32,1,0
187,trial_truth_033_1,4,2,166,8,0,21,0,12
188,trial_truth_034_0,19,1,279,22,0,59,0,7
189,trial_truth_034_1,56,0,222,8,0,85,2,15
190,trial_truth_035_0,38,84,0,59,77,95,7,15
191,trial_truth_035_1,42,128,2,43,28,92,22,18
192,trial_truth_036_0,0,51,29,315,11,37,8,11
193,trial_truth_036_1,5,76,20,340,1,21,0,0
194,trial_truth_037_0,39,45,15,45,1,127,0,2
195,trial_truth_037_1,20,74,8,10,16,98,40,9
196,trial_truth_038_0,3,7,164,2,3,49,3,6
197,trial_truth_038_1,84,13,68,4,0,66,0,2
198,trial_truth_039_0,11,29,105,37,6,156,39,17
199,trial_truth_039_1,7,124,59,34,5,115,44,12
200,trial_truth_040_0,0,0,201,48,2,133,2,1
201,trial_truth_040_1,13,34,155,72,0,104,9,0
202,trial_truth_041_0,0,58,52,0,15,35,2,8
203,trial_truth_041_1,15,87,23,1,0,0,41,3
204,trial_truth_042_0,5,6,66,1,1,57,4,6
205,trial_truth_042_1,8,1,23,31,3,71,3,7
206,trial_truth_043_0,6,2,65,7,0,24,3,3
207,trial_truth_043_1,0,1,93,3,0,12,1,0
208,trial_truth_044_0,16,7,56,3,2,11,0,10
209,trial_truth_044_1,12,17,50,2,0,10,1,13
210,trial_truth_045_0,6,25,22,33,15,48,7,9
211,trial_truth_045_1,8,8,42,20,0,65,2,20
212,trial_truth_046_0,4,0,103,0,0,72,6,0
213,trial_truth_046_1,0,4,125,5,0,33,5,13
214,trial_truth_047_0,5,9,71,15,0,19,8,3
215,trial_truth_047_1,6,9,39,17,0,48,3,8
216,trial_truth_048_0,27,9,35,1,3,51,4,0
217,trial_truth_048_1,19,2,10,25,0,26,20,28
218,trial_truth_049_0,3,8,61,12,0,63,1,2
219,trial_truth_049_1,0,2,111,4,0,27,5,1
220,trial_truth_050_0,2,31,56,13,0,2,11,0
221,trial_truth_050_1,1,39,35,7,2,23,7,1
222,trial_truth_051_0,0,145,113,44,9,20,62,30
223,trial_truth_051_1,12,106,157,28,1,81,13,26
224,trial_truth_052_0,4,8,86,2,0,42,1,1
225,trial_truth_052_1,6,0,90,6,2,37,4,0
226,trial_truth_053_0,1,0,5,183,20,131,40,25
227,trial_truth_053_1,0,19,18,196,13,112,26,21
228,trial_truth_054_0,202,0,73,25,0,30,11,19
229,trial_truth_054_1,204,10,36,46,13,6,8,37
230,trial_truth_055_0,7,5,3,3,0,24,2,2
231,trial_truth_055_1,15,13,0,3,0,12,2,1
232,trial_truth_056_0,39,16,24,33,0,5,50,6
233,trial_truth_056_1,48,50,31,6,3,5,22,8
234,trial_truth_057_0,4,14,518,0,1,22,0,10
235,trial_truth_057_1,13,6,511,2,4,33,1,0
236,trial_truth_058_0,52,30,176,0,7,21,7,22
237,trial_truth_058_1,18,41,214,12,4,2,0,24
238,trial_truth_059_0,75,0,255,3,1,40,3,28
239,trial_truth_059_1,65,5,271,2,0,60,0,2
240,trial_truth_060_0,32,13,15,128,0,45,24,13
241,trial_truth_060_1,38,76,78,62,0,14,0,2
