,video_name,Neutral-Neutral,Neutral-Happiness,Neutral-Sadness,Neutral-Surprise,Neutral-Fear,Neutral-Anger,Neutral-Disgust,Neutral-Contempt,Happiness-Neutral,Happiness-Happiness,Happiness-Sadness,Happiness-Surprise,Happiness-Fear,Happiness-Anger,Happiness-Disgust,Happiness-Contempt,Sadness-Neutral,Sadness-Happiness,Sadness-Sadness,Sadness-Surprise,Sadness-Fear,Sadness-Anger,Sadness-Disgust,Sadness-Contempt,Surprise-Neutral,Surprise-Happiness,Surprise-Sadness,Surprise-Surprise,Surprise-Fear,Surprise-Anger,Surprise-Disgust,Surprise-Contempt,Fear-Neutral,Fear-Happiness,Fear-Sadness,Fear-Surprise,Fear-Fear,Fear-Anger,Fear-Disgust,Fear-Contempt,Anger-Neutral,Anger-Happiness,Anger-Sadness,Anger-Surprise,Anger-Fear,Anger-Anger,Anger-Disgust,Anger-Contempt,Disgust-Neutral,Disgust-Happiness,Disgust-Sadness,Disgust-Surprise,Disgust-Fear,Disgust-Anger,Disgust-Disgust,Disgust-Contempt,Contempt-Neutral,Contempt-Happiness,Contempt-Sadness,Contempt-Surprise,Contempt-Fear,Contempt-Anger,Contempt-Disgust,Contempt-Contempt,target
10,trial_lie_006_0,3,0,0,0,0,1,2,1,1,4,0,0,0,0,3,1,0,0,1,0,0,0,1,1,0,0,0,6,0,0,4,2,0,0,1,0,1,0,1,0,2,0,0,0,0,5,3,1,0,4,1,3,2,2,15,5,1,1,0,3,0,2,3,10,0
11,trial_lie_006_1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,11,1,0,9,2,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,11,1,2,14,1,0,3,0,1,0,0,2,5,0
12,trial_lie_007_0,22,0,1,6,0,4,18,1,0,0,0,0,0,0,0,0,2,0,5,0,0,1,3,0,6,0,0,14,4,0,7,1,0,0,0,3,7,0,6,0,3,0,1,0,0,7,5,0,18,0,3,8,6,4,34,1,1,0,0,1,0,0,1,0,0
13,trial_lie_007_1,13,0,3,1,0,2,17,2,0,0,0,0,0,0,0,1,4,0,3,0,0,0,1,0,2,0,0,13,9,1,12,0,0,0,0,6,16,0,18,0,2,0,0,0,0,9,9,0,14,0,2,17,15,8,42,0,3,1,0,0,0,0,0,1,0
14,trial_lie_008_0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,2,0,2,0,1,0,5,0,0,0,1,0,0,3,2,5,0
15,trial_lie_008_1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,1,0,0,0,0,0,1,2,0
16,trial_lie_009_0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,0,0,0,4,0,0,2,4,0,0,0,0,4,0,1,5,1,0,0,1,0,2,0,1,0,0,2,1,1,2,8,3,1,0,3,4,6,0,2,14,0
17,trial_lie_009_1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,4,0,4,0,1,0,5,2,0,0,5,0,0,0,1,10,0,2,10,1,0,6,0,0,8,0,5,0,0,0,0,3,1,3,3,1,1,2,7,9,6,4,15,0
18,trial_lie_010_0,9,0,1,1,0,1,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,6,0,0,12,0,0,0,0,0,2,0,5,0,1,0,0,0,0,1,0,0,7,0,1,12,5,0,21,1,0,0,0,0,0,0,1,1,0
19,trial_lie_010_1,8,0,0,0,0,0,9,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,7,1,0,14,1,2,1,0,0,0,0,0,2,0
20,trial_lie_011_0,9,0,5,0,0,4,5,1,0,1,0,0,0,0,2,1,3,0,12,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,7,0,0,0,0,3,0,0,5,2,18,0,2,3,21,0,1,1,0,0,0,0,0,2,0
21,trial_lie_011_1,17,1,0,0,0,6,15,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,6,0,0,0,0,10,7,0,14,0,3,1,1,7,22,0,0,0,0,0,0,0,0,0,0
22,trial_lie_012_0,1,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0
23,trial_lie_012_1,5,1,0,3,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,1,4,0,0,1,0,0,1,0,1,1,0,0,0,1,0,2,0
24,trial_lie_013_0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,1,0,0,13,3,0,5,9,0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,1,0,3,7,1,0,12,7,1,0,2,8,1,0,9,13,0
25,trial_lie_013_1,2,0,1,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,10,1,0,0,1,9,1,0,1,6,0,2,2,4,0,0,0,0,0,0,0,0,0,0,1,1,0,8,2,8,0,0,2,3,0,0,7,4,5,1,6,3,0,8,5,16,0
26,trial_lie_014_0,8,0,0,4,4,0,7,1,0,2,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,4,4,0,2,0,6,0,0,2,8,0,2,0,3,0,0,0,0,4,2,0,4,2,1,0,2,6,12,6,1,1,1,0,0,0,5,4,0
27,trial_lie_014_1,6,0,0,0,3,1,6,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,3,4,0,1,0,3,0,1,3,8,0,13,0,0,0,0,0,0,2,2,0,6,1,0,2,13,1,14,1,1,0,0,1,0,0,1,2,0
28,trial_lie_015_0,7,0,0,0,1,8,4,0,0,2,0,0,0,0,3,0,0,0,2,0,1,0,1,0,0,0,0,4,1,0,3,0,2,0,1,0,7,0,9,0,9,0,0,2,0,17,10,2,2,3,1,2,9,14,21,1,0,0,0,0,0,0,3,1,0
29,trial_lie_015_1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,4,3,4,1,0,0,0,4,8,0,11,0,1,0,0,2,0,16,15,5,0,2,0,5,11,15,23,5,1,0,0,1,0,5,8,10,0
30,trial_lie_016_0,8,0,1,5,0,2,3,4,0,10,0,0,0,0,8,6,1,0,2,0,0,1,0,2,1,0,0,7,5,1,5,4,2,1,0,4,9,1,4,2,3,0,1,0,0,6,5,2,2,8,1,4,6,5,25,17,6,5,1,3,3,1,18,23,0
31,trial_lie_016_1,4,0,0,1,0,2,5,2,0,6,0,1,0,0,5,4,1,0,1,0,1,0,0,0,1,0,0,8,0,0,11,2,0,0,1,2,3,1,1,0,2,0,0,0,0,7,2,6,2,6,1,8,3,2,37,29,4,4,0,3,1,5,26,23,0
32,trial_lie_017_0,7,0,5,0,0,0,4,0,0,3,0,0,0,0,3,0,4,0,5,0,0,1,1,0,0,0,0,1,3,0,3,0,0,0,1,2,4,0,7,0,1,0,0,0,0,0,0,0,5,3,0,4,6,0,14,0,0,0,0,0,0,0,0,0,0
33,trial_lie_017_1,13,0,18,2,0,2,5,3,0,7,0,0,0,1,13,0,18,0,17,0,0,13,0,1,3,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,4,0,12,0,0,8,0,0,4,14,1,9,0,0,24,0,2,0,1,0,0,0,1,1,0
34,trial_lie_018_0,15,0,1,7,1,11,1,5,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,7,0,0,20,3,3,4,6,2,0,2,2,6,1,2,0,14,0,0,4,1,21,3,11,1,0,0,5,3,3,11,3,1,1,1,6,0,14,4,15,0
35,trial_lie_018_1,18,0,0,6,0,16,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,22,2,12,3,6,2,0,0,1,3,0,1,2,16,0,1,10,1,25,1,5,0,0,0,2,0,1,2,3,1,1,0,10,3,4,1,14,0
36,trial_lie_019_0,19,0,0,5,1,2,16,2,0,5,0,1,0,0,5,1,2,0,3,0,0,0,2,0,4,1,0,9,0,0,9,1,0,0,0,2,1,0,1,0,2,0,1,0,0,3,0,0,14,5,3,6,1,1,37,17,5,1,0,1,0,0,14,8,0
37,trial_lie_019_1,14,0,1,4,0,2,6,7,0,7,0,0,0,0,6,5,0,0,1,1,1,0,0,1,4,1,0,13,0,0,7,3,1,0,0,1,2,0,0,0,1,0,0,0,0,3,3,1,7,5,0,4,1,1,24,15,7,5,3,5,0,2,11,19,0
38,trial_lie_020_0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,2,0,3,1,0,0,0,2,5,0,3,1,0,0,0,0,0,0,0,0,1,0,0,4,3,0,10,6,0,0,0,1,0,0,7,5,0
39,trial_lie_020_1,5,0,1,0,0,0,2,2,0,2,0,1,0,0,4,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,3,0,2,0,0,9,4,1,1,1,1,0,1,3,5,0
40,trial_lie_021_0,3,0,3,1,0,0,3,0,0,3,0,0,0,0,0,4,1,0,4,0,0,0,4,0,2,0,0,2,2,0,3,0,0,0,0,2,5,0,5,0,0,0,0,0,0,0,0,0,4,0,2,3,5,0,10,0,0,4,0,1,0,0,0,3,0
41,trial_lie_021_1,3,0,0,0,0,3,4,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,1,2,0,2,0,2,0,1,0,0,1,0,0,2,2,2,2,1,0,7,0,0,0,0,0,0,0,0,0,0
42,trial_lie_022_0,8,0,4,0,1,0,11,2,0,5,0,1,0,0,12,1,6,0,7,0,0,0,5,0,0,2,0,8,4,0,7,0,0,0,1,4,7,0,11,0,1,0,0,0,0,1,0,0,7,11,6,8,11,1,36,4,3,1,0,0,0,0,3,4,0
43,trial_lie_022_1,21,0,4,2,4,3,13,1,0,2,0,0,0,0,7,0,3,0,3,0,0,0,2,2,0,0,0,7,6,0,8,0,4,0,0,7,16,0,14,0,2,0,1,0,0,2,0,0,15,7,1,5,15,0,36,3,3,0,0,0,0,0,3,2,0
44,trial_lie_023_0,8,0,5,2,2,2,12,1,0,1,0,0,0,0,2,0,3,0,6,0,0,0,4,0,1,0,0,11,2,0,15,0,2,0,0,2,6,0,6,0,3,0,0,1,0,3,0,2,15,2,2,13,6,0,28,0,0,0,0,0,0,4,0,2,0
45,trial_lie_023_1,12,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,2,0,7,0,1,0,6,0,3,0,0,7,0,0,16,0,0,0,0,0,8,0,16,0,1,0,0,0,0,0,0,0,19,0,6,18,14,0,47,0,0,0,0,0,0,0,0,0,0
46,trial_lie_024_0,8,0,1,0,1,6,6,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,2,0,0,2,1,0,0,0,0,1,1,1,0,8,0,2,0,1,14,6,3,4,0,0,2,0,7,20,13,1,0,0,0,0,6,12,9,0
47,trial_lie_024_1,13,0,1,0,0,3,12,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,11,0,0,7,0,0,20,17,6,0,0,1,0,1,16,10,0
48,trial_lie_025_0,18,0,0,2,0,1,13,6,0,4,0,0,0,0,7,1,0,0,0,0,0,0,1,1,1,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,17,7,2,3,0,1,31,7,2,1,0,0,0,0,11,7,0
49,trial_lie_025_1,15,0,2,1,0,1,15,6,0,2,0,0,0,0,4,0,1,0,0,0,0,0,1,1,3,0,0,5,0,0,4,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,16,1,2,4,2,0,27,12,4,3,0,2,0,0,10,10,0
50,trial_lie_026_0,17,0,3,1,0,4,15,9,0,2,0,0,0,0,2,2,1,0,2,0,0,3,1,3,2,0,0,5,3,0,2,0,0,0,1,3,7,0,5,0,6,0,1,0,0,2,1,2,11,4,1,3,6,1,20,6,12,0,1,0,0,3,6,17,0
51,trial_lie_026_1,9,0,3,0,0,6,4,2,0,3,0,0,0,0,5,0,2,0,3,0,0,2,3,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,2,0,7,0,2,0,1,11,3,5,3,4,2,2,1,8,23,9,2,1,1,0,0,3,10,5,0
52,trial_lie_027_0,18,0,0,3,1,9,10,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,7,3,1,1,1,3,0,0,1,2,1,8,0,8,0,1,0,2,13,6,2,8,0,0,4,6,7,16,2,4,0,0,1,0,1,2,4,0
53,trial_lie_027_1,6,0,0,1,5,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,3,0,0,0,13,10,2,5,3,5,0,0,11,17,0,10,3,0,0,1,2,1,4,1,1,3,0,0,1,9,0,10,8,0,2,3,5,4,3,4,11,0
54,trial_lie_028_0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,7,3,1,1,1,4,1,7,19,18,0,0,0,0,0,2,19,14,0
55,trial_lie_028_1,6,0,0,2,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,1,7,1,0,0,0,3,6,2,7,0,3,0,0,1,0,7,7,3,5,0,0,6,10,5,20,2,1,0,0,0,1,3,2,3,0
56,trial_lie_029_0,5,0,1,2,0,1,4,1,0,1,0,2,0,0,0,0,1,0,2,0,0,1,4,0,0,1,0,2,1,0,2,1,0,0,0,0,1,0,1,0,3,0,0,0,0,5,2,0,4,1,5,1,0,3,13,1,1,0,0,0,0,0,2,2,0
57,trial_lie_029_1,11,0,2,3,1,4,5,3,0,2,0,1,0,0,1,0,2,0,4,0,0,0,2,3,1,0,0,5,0,0,6,0,0,0,0,1,1,0,0,0,5,0,3,0,0,5,0,2,5,2,2,3,0,3,11,0,5,0,0,0,0,2,1,2,0
58,trial_lie_030_0,13,0,2,0,0,1,9,4,0,3,0,0,0,0,4,2,2,0,2,0,0,0,3,1,0,1,0,7,2,0,7,1,1,0,0,1,5,0,5,1,1,0,1,0,0,1,0,0,7,5,2,10,4,0,22,3,4,0,1,0,2,1,4,10,0
59,trial_lie_030_1,19,0,2,2,0,2,13,8,0,4,0,0,0,0,4,3,2,0,2,0,0,0,3,0,2,0,0,8,1,0,4,2,0,0,0,2,2,0,2,0,1,0,0,0,0,1,2,0,16,4,3,4,3,1,28,10,5,3,0,1,0,0,14,14,0
60,trial_lie_031_0,11,0,2,1,1,4,6,3,0,1,0,0,0,0,1,0,0,0,3,0,0,3,0,0,1,0,0,4,0,0,4,0,0,0,0,0,0,0,2,0,6,0,1,1,0,9,3,2,7,0,0,3,1,4,13,2,3,1,0,0,0,1,1,4,0
61,trial_lie_031_1,7,0,0,2,0,1,8,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,7,0,0,5,1,0,0,0,0,4,0,6,0,1,0,0,0,0,0,2,1,8,2,0,4,6,2,16,5,1,0,0,1,0,0,6,5,0
62,trial_lie_032_0,3,0,0,0,0,0,0,3,0,9,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,0,7,2,0,2,23,0
63,trial_lie_032_1,8,1,0,0,1,0,1,6,2,4,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,8,0,1,3,0,0,0,0,0,4,4,0,1,0,0,0,3,2,8,2,4,3,0,0,1,2,1,11,0
64,trial_lie_033_0,4,0,0,0,0,0,0,6,0,6,0,1,0,0,0,11,0,0,7,1,1,0,0,7,0,2,0,8,3,0,0,7,0,1,0,1,2,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,5,9,9,9,5,2,2,30,0
65,trial_lie_033_1,2,0,0,1,0,0,0,7,0,7,0,1,0,0,0,16,0,0,7,0,0,0,0,8,0,0,0,6,2,0,0,12,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,1,7,17,8,9,1,4,1,36,0
66,trial_lie_034_0,22,0,5,1,2,0,18,0,0,1,0,0,0,0,1,0,6,0,5,0,0,0,3,0,1,0,0,1,0,0,2,0,1,0,0,0,3,0,6,0,1,0,0,0,0,2,1,0,17,1,4,2,5,1,23,0,0,0,0,0,0,0,0,0,0
67,trial_lie_034_1,21,0,3,1,1,6,6,10,0,4,0,1,1,0,3,0,1,0,3,0,0,0,2,2,1,0,0,10,4,0,9,0,3,0,0,1,10,0,10,0,4,0,0,1,0,2,0,1,6,5,1,10,8,0,20,1,11,0,1,0,0,0,2,8,0
68,trial_lie_035_0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,1,9,0,0,0,1,4,7,3,2,0,0,0,0,1,3,3,3,1,0,0,0,9,3,3,13,0
69,trial_lie_035_1,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,1,2,0,1,0,0,1,1,7,5,3,3,1,0,1,3,5,10,0,7,0,0,1,0,1,0,2,1,2,0,0,0,5,8,0,7,0
70,trial_lie_036_0,2,0,0,0,0,3,0,5,0,0,0,0,0,0,0,4,0,0,13,0,1,0,5,12,0,1,0,8,0,0,3,8,0,0,3,0,1,0,1,1,3,0,0,0,0,3,0,0,1,0,4,3,1,0,12,10,4,3,12,9,3,0,9,25,0
71,trial_lie_036_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,2,2,1,7,24,0,0,3,7,0,1,8,9,0,0,1,1,3,0,1,4,1,0,1,1,0,6,0,5,0,0,9,7,2,0,10,3,0,0,23,10,3,5,4,26,0
72,trial_lie_037_0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,4,2,0,1,0,0,3,1,3,0,0,0,0,2,3,9,6,1,0,1,0,4,2,5,17,7,3,0,0,1,0,4,5,6,0,1,0,0,0,1,2,0,3,0
73,trial_lie_037_1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,0,4,1,4,1,0,0,0,2,1,2,0,3,0,0,2,1,10,3,4,1,0,0,1,2,1,7,3,3,0,0,6,0,1,2,12,4,1,1,1,3,4,3,1,11,0
74,trial_lie_038_0,1,0,0,0,0,0,0,1,0,4,0,0,2,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,2,12,0,4,6,0,0,0,0,0,2,0,3,0,0,0,0,5,0,3,2,1,3,0,0,6,3,4,15,0
75,trial_lie_038_1,4,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,3,5,0,0,0,0,4,0,3,0,0,1,0,2,1,8,8,0,0,6,0,1,4,11,15,0
76,trial_lie_039_0,2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,9,0,0,0,5,5,0,0,0,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,6,0,0,5,2,0,0,12,9,2,1,5,4,0,7,9,24,0
77,trial_lie_039_1,2,0,0,0,0,0,0,2,0,3,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,3,0,0,1,2,0,0,0,0,1,0,3,0,0,0,0,0,0,4,4,3,0,0,1,1,3,6,20,11,3,2,1,0,0,1,11,14,0
78,trial_lie_040_0,5,0,0,0,0,2,1,3,0,1,0,0,0,0,1,1,0,0,2,0,0,2,3,0,1,0,0,4,0,2,1,0,0,0,1,1,3,3,2,1,1,1,2,1,4,14,8,2,2,0,2,1,4,8,15,1,2,1,0,1,0,3,2,7,0
79,trial_lie_040_1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,1,7,5,1,0,0,5,3,0,0,1,0,0,0,3,9,0,7,1,0,0,1,1,1,6,0,5,0,0,6,0,5,3,9,1,1,0,6,1,1,4,1,9,0
80,trial_lie_041_0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,9,0,8,0,0,0,0,0,0,0,0,0,0,8,0,19,6,2,16,0,0,8,0,9,13,1,11,0,0,0,0,2,1,0,1,0,0,6,0,15,13,1,15,0
81,trial_lie_041_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,32,3,17,24,0,0,0,0,3,3,1,1,0,0,1,0,15,1,14,5,0,0,1,0,26,1,3,18,0
82,trial_lie_042_0,2,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,2,0,0,8,5,1,1,6,0,0,0,6,5,1,3,1,0,0,0,1,2,8,4,11,0,0,1,1,2,2,8,9,3,0,2,5,2,14,6,18,0
83,trial_lie_042_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,2,0,0,0,0,1,5,0,5,2,0,0,1,0,0,12,14,5,0,0,0,0,6,14,22,16,0,1,3,1,1,5,15,16,0
84,trial_lie_043_0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,3,0,3,9,0,8,0,0,0,0,0,0,0,0,1,0,6,0,1,7,0,8,0
85,trial_lie_043_1,2,1,0,0,0,1,0,5,0,1,0,2,0,0,0,0,0,0,7,1,0,0,0,8,1,1,0,5,5,0,0,0,1,0,0,2,4,3,0,3,0,0,1,0,2,1,0,1,0,0,1,0,0,0,2,2,5,0,7,2,2,0,3,7,0
86,trial_lie_044_0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
87,trial_lie_044_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
88,trial_lie_045_0,6,2,1,0,11,0,0,0,1,0,0,0,2,1,0,0,3,0,5,0,8,0,0,1,0,0,0,0,0,0,0,0,9,1,10,0,22,10,4,1,0,1,0,0,12,8,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,2,0,1,0
